Provincia,Departamento,Cant_Expo_Mujeres,Cant_EE,Población
SANTIAGO DEL ESTERO,GENERAL TABOADA,2.0,77,46304.0
SAN JUAN,JACHAL,18.0,76,25269.0
CHUBUT,FUTALEUFU,31.0,75,49965.0
MISIONES,APOSTOLES,26.0,75,50503.0
JUJUY,LEDESMA,15.0,75,94132.0
BUENOS AIRES,VILLARINO,53.0,74,32552.0
BUENOS AIRES,SAN ANDRES DE GILES,20.0,74,26399.0
BUENOS AIRES,CORONEL DE MARINA LEONARDO ROSALES,13.0,74,65823.0
TUCUMAN,SIMOCA,3.0,74,36946.0
SANTIAGO DEL ESTERO,JIMENEZ,2.0,74,18622.0
BUENOS AIRES,LA COSTA,39.0,73,100400.0
SAN LUIS,AYACUCHO,9.0,73,23653.0
CORDOBA,ISCHILIN,2.0,72,36023.0
MENDOZA,SAN CARLOS,106.0,71,39752.0
SANTIAGO DEL ESTERO,JUAN FELIPE IBARRA,0.0,71,20567.0
TUCUMAN,MONTEROS,31.0,70,77469.0
CORDOBA,GENERAL ROCA,27.0,70,36064.0
BUENOS AIRES,PATAGONES,22.0,70,37499.0
CORDOBA,PRESIDENTE ROQUE SAENZ PEÑA,34.0,69,37551.0
BUENOS AIRES,AYACUCHO,6.0,69,21757.0
MISIONES,MONTECARLO,25.0,68,38620.0
ENTRE RIOS,TALA,10.0,68,31091.0
CATAMARCA,CAPAYAN,0.0,68,19471.0
SAN JUAN,POCITO,51.0,67,72879.0
CORRIENTES,MERCEDES,25.0,67,49807.0
MENDOZA,TUNUYAN,136.0,66,59972.0
TUCUMAN,YERBA BUENA,94.0,66,102589.0
LA RIOJA,CHILECITO,50.0,66,58681.0
SAN JUAN,CHIMBAS,47.0,66,103772.0
CORRIENTES,MONTE CASEROS,21.0,66,45602.0
CORRIENTES,GENERAL PAZ,3.0,66,17016.0
TIERRA DEL FUEGO,USHUAIA,81.0,65,80009.0
LA PAMPA,MARACO,79.0,65,69067.0
MENDOZA,RIVADAVIA,70.0,65,63589.0
TUCUMAN,LULES,51.0,65,93464.0
BUENOS AIRES,LAS FLORES,9.0,65,27136.0
BUENOS AIRES,MARCOS PAZ,32.0,64,64761.0
CORRIENTES,ITUZAINGO,26.0,64,38767.0
SANTA FE,SAN JAVIER,11.0,64,33180.0
MENDOZA,JUNIN,38.0,63,46472.0
CHUBUT,CUSHAMEN,15.0,63,28099.0
CHACO,9 DE JULIO,8.0,63,30223.0
CHACO,BERMEJO,4.0,63,28060.0
CHACO,25 DE MAYO,0.0,63,32606.0
FORMOSA,LAISHI,0.0,63,19275.0
CHACO,CHACABUCO,31.0,62,34493.0
BUENOS AIRES,GENERAL ALVARADO,29.0,62,45307.0
SAN JUAN,CAUCETE,28.0,62,44017.0
CORRIENTES,PASO DE LOS LIBRES,27.0,62,56778.0
CORRIENTES,CONCEPCION,10.0,62,26270.0
SANTIAGO DEL ESTERO,SALAVINA,0.0,62,12775.0
BUENOS AIRES,LOBERIA,17.0,61,18106.0
CORDOBA,TULUMBA,3.0,61,14092.0
CORDOBA,RIO SECO,0.0,61,15275.0
JUJUY,HUMAHUACA,0.0,61,20877.0
BUENOS AIRES,BRANDSEN,18.0,60,32350.0
BUENOS AIRES,NAVARRO,10.0,60,19888.0
MISIONES,SAN JAVIER,4.0,60,23080.0
SANTIAGO DEL ESTERO,OJO DE AGUA,4.0,60,15008.0
BUENOS AIRES,PRESIDENTE PERON,2.0,60,101994.0
CHACO,O'HIGGINS,0.0,60,21544.0
BUENOS AIRES,MAGDALENA,14.0,59,22653.0
SAN JUAN,SARMIENTO,45.0,58,27188.0
RIO NEGRO,AVELLANEDA,38.0,58,41160.0
CORRIENTES,SALADAS,5.0,58,29126.0
SANTIAGO DEL ESTERO,QUEBRACHOS,2.0,58,12336.0
CORRIENTES,SAN LUIS DEL PALMAR,0.0,58,21381.0
